intent,answer_normalised
order,i would like to pickup a veggie sub with a cookie from subway
cleaning,on vacuum cleaner
cleaning,if my vacuum cleaner is not activated please activate it
hue_lightup,make this room brighter
hue_lightdim,turn the lights down a bit
music,find and make a playlist of all the latest dancing tracks
cleaning,power up the vacuum
hue_lightup,please siri put on multi colored lightning in my apartment set for festival diwali
order,yo order take out from jason's deli on sixth ave
volume_down,lower all volume on speakers please
hue_lightdim,dim all interior lights
hue_lightdim,please turn down the lights in the house
hue_lightchange,make curser adjustable position
music,please play <unk>
music,play my mashup
music,play some lady gaga
taxi,call an uber for me
taxi,find me a taxi
music,can you play my favorites playlist
hue_lightoff,bed room two switch off the lights
hue_lightchange,make all the lights in the house orange
cleaning,can you start the vacuum
music,play music on shuffle
coffee,set coffee to bre at seven am
music,set a classic music
hue_lightdim,minimize the lights
cleaning,please run the vacuum
volume_up,could you speak up
cleaning,start the robot roomba
taxi,where is the closest uber
music,play next song of my selected
music,put on be warned by tech
hue_lightoff,please turn off any lights that are still on
hue_lightdim,turn my lights down to a lower level of brightness
order,is there any good chinese takeout that's open late
music,please paly for me elvis preley song again
music,play best hits
hue_lightchange,change the lights in my home to green
hue_lightchange,chane light colour to green
music,i want some jazz music to play
music,play hopsin from my latest playlist
music,i want you to put on be warned by tech
volume_mute,disable music player
music,from my play list filter devotional songs and play write now or me
hue_lightdim,please lower the lights
music,play adele hello
music,play let me love you by ariana grande
music,stop the music
music,i want to play the song again
hue_lightchange,modify the light colours of the house and make them dark instead
hue_lightoff,shut the lights off in my bedroom please
volume_up,just increase the volume a little
music,rock with rock star
hue_lightoff,will you turn off the lights please
music,find jazz music on my playlist
order,open takeout menus
music,new music tracks
volume_mute,help me to mute my speaker
volume_mute,mute yourself until i say otherwise
volume_up,increase volume
hue_lightdim,dim the lights
order,find restaurant order food name
order,hey order a side of hot wings with my previous order
hue_lighton,overhead lights on please
music,play my most recent playlist
coffee,i want a coffee
music,play favourite music
taxi,please book a taxi in uber for me to go to the airport today
music,please play the latest song from the album abbas
coffee,get coffee maker started for a fresh cup
hue_lightchange,change the light in the bathroom to yellow
volume_mute,mute speaker
cleaning,turn my iroomba on
music,play chopin
order,find and order handi paneer in pavitra
music,play all by playlist
hue_lightchange,please adjust the colors in my lights
music,play 'do re mi
music,play jars of clay's if i left the zoo
hue_lightchange,make a contrast one
music,can you put on my playlist of metal music
music,play justin bieber on shuffle
order,any low priced delicacies
volume_up,rise volume
hue_lightoff,turn off living room lights
music,play my favorite song
hue_lightup,more lights please
volume_down,low the volume
music,i like to hear 'kuch kuch hotha hai
volume_mute,turn off the 's sound
cleaning,start the robot vacuum cleaner at one pm today
hue_lightup,brighten lights
cleaning,turn on vacuum cleaning
volume_up,volume up
music,play bohemian raphsody for me
music,move this song to up next
hue_lightchange,please change the house lights to blue
hue_lightoff,no lights in the kitchen
taxi,open lyft
cleaning,start vacuuming
hue_lightchange,change the lights in my home to orange
music,shuffle and play all songs by gavenda artist
cleaning,turn on the robot vacuum
hue_lightchange,i want purple lights
hue_lightoff,please turn lights off
coffee,prepare coffee
coffee,please make me a coffee using the coffe machine
taxi,can you book an uber after i left for office
volume_mute,pause the music
hue_lightdim,turn down the lights
music,play my r. n. b. playlist
coffee,start coffee machine
music,please play only music of pop mi <unk>
coffee,want to wake up can u order a caffechino
coffee,please make a coffee for me
music,i want to hear snow by red hot chili peppers
hue_lightoff,turn off room lights
hue_lightchange,fi <unk> the light which has one hundred and fifty watts
cleaning,turn on the vacuum cleaner while i am gone
volume_mute,turn off the sounds
volume_mute,mute sound
hue_lightup,light ko raise karo
volume_mute,turn off sound
music,play music from workout playlist
taxi,book a taxi at my home address for right now
music,hey play me a popular country song
music,play the song let it go
music,play neverland by metallica
music,please play help
hue_lightdim,minimize the light power
music,music third day
music,play me some radiohead
music,i want to listen to george strait
taxi,book a taxi to the airport for tomorrow morning
cleaning,start the vacuum at nine am
hue_lightup,brighten the lights please
volume_mute,mute for twenty minutes
volume_down,decrease the volume to ten percent
music,play the last played playlist
hue_lightoff,give me dark
hue_lightdim,i need to turn the lights down
music,please play some jazz misic
hue_lightoff,did i leave the light on in the garage
volume_down,you're too loud
music,play more music like that
music,play something with three or more stars from new music
hue_lighton,it's too dark here
music,play joy division
hue_lightoff,turn off all the lights in the living room and den
music,play jazz music
music,play <unk>
volume_up,can you turn the volume up
music,play firefly by mura masa
music,play all songs by anirudh
taxi,find the nearest uber
music,open playlist five
music,after this song ends i want to hear hotel california next
cleaning,start irobot
music,play my recently downloaded songs
hue_lightdim,can you turn down the lights by twenty percent
volume_down,could you please lower your volume
music,play music in queue
volume_mute,stop
music,get set need me music track
hue_lightchange,please change lights colour to red
volume_mute,get yourself muted
music,put the gym playlist next in queue
music,play lady gaga
order,order the best priced general tofu in nyack
music,start my play list
music,play my killers playlist please
taxi,schedule an uber in twenty minutes to tesco on fifth street
hue_lightoff,please turn off all the lights outdoor
volume_up,raise the volume of the current music
music,play my soundtrack
music,play mocking bird by eminem
order,i would like to order takeaway
music,play my first favorite song on loop
taxi,find an uber on twenty ninth
volume_mute,hey siri mute the speakers
music,play item one
music,play my top rated pop songs please
coffee,make me a coffee please
coffee,please make a coffee
music,can you play a song by aerosmith
hue_lightup,please brighten the lights
volume_up,i can't hear you speak up
music,bring up my last playlist from tidal
music,play songs
cleaning,start house cleanup
music,spotify
volume_mute,silent
music,play britney spears crazy
music,shuffle songs by coldplay
coffee,start coffee
hue_lightdim,attenuate the lights
taxi,get me a uber
music,play on loop the devil went down to georgia for me
volume_up,i want the speakers turned up high
music,i would like to hear some blues
music,play songs from the r. n. b. and soul genre
hue_lightoff,lights off bathroom
music,play some tracks by michael jackson
coffee,i need some coffee please
taxi,could you please book a cab for me in uber from la to ny today
music,play the song next to the one playing now
music,play recentl added songs
music,play the latest song of eminem
volume_up,raise the volume to ma <unk>
hue_lightup,make the light more brighter
music,i want to hear @ song
hue_lightchange,change the light color to red
hue_lightchange,white
volume_up,set the volume higher
volume_down,lower the speakers
music,could you play this song closer from the album chainsmokers
music,please start the playlist huey lewis and the news
music,turn on my playlist of country music
music,play titanic title song
hue_lightoff,hey turn off the light please
music,play slayer
music,please play only sad song in music player
hue_lightup,brighten up the room
taxi,book an uber to la cinemas in one hour
volume_up,change the volume level to nineteen please
cleaning,enable cleaner robot
coffee,greg wants black coffee can you make one
music,play a song i like
music,please play candle in the wind
music,open songs from major lazer
volume_mute,turn off media volume
music,go to rap list
music,i'd like to hear queen's barcelona
music,play hurts like heaven
volume_up,i want ma <unk> volume on my speakers
hue_lightoff,turn off lighting
music,play my workout playlist in spotify
taxi,i need a ride to the airport
hue_lightoff,turn off the lights in the living room please
music,play dinner party music
music,play born to run from were i stopped
cleaning,activate the vacuum cleaner and use it
coffee,start the coffee maker
taxi,arrange a taxi
cleaning,please start vacuuming
music,play music from where you left off
volume_up,heyturn the volume high
volume_up,please turn up the speaker volume
hue_lightchange,let's have the lights blue
music,play dynamite by acdc
order,order chinese for delivery
music,play music by skrille <unk>
music,hey play the latest somgs from playlist
music,can you play me some dance music
hue_lighton,turn on the lights that are outdoors
coffee,please make some coffee for me
music,play all the latest pop songs
music,please play artist first in queue
volume_up,please increase the volume
music,play anything from metallica
hue_lightdim,make the lights less bright
volume_down,decrease the volume to ten
volume_up,raise the volume to sixty
music,i want to hear tum hi ho next
taxi,find a taxi to go home
coffee,start the coffee machine at three
music,play song aces high
coffee,start up the coffee machine
cleaning,run the vacuum
taxi,i need a taxi in thirty minutes
hue_lightchange,i'd like some red lighting
music,song next please
hue_lightdim,lower the brightness of the lights
music,play reggae music
volume_down,softer
music,play randomized pop songs no repeats
hue_lightchange,please change the light to green
hue_lighton,please turn on the lights in my house
volume_down,could you please lower the tone
order,pull up the menu for the closest mexican restaurant
music,play my top rated playlist
music,after this song play thriller
taxi,call me a cab
volume_down,lower the speak volume
hue_lightoff,lights off for the kids bedroom please then change the lights to my room to red
music,play song over the rainbow
order,contact pizza hut and order a large pizza with ham and mushrooms
cleaning,i need you to turn on the vacuum cleaner
music,turn on music by seal
music,play fourth song of the same album after this song
music,could you please play the classical music for me
music,let me hear some pop music or a song
music,turn on my michael jackson playlist
music,put on some coldplay
music,play a good track from my favourite jazz player
hue_lightup,please make the room brighter
music,find me a good pop song
music,turn on huey lewis and the news from the music player
music,hey siri find music by nine inch nails
volume_mute,please mute the speakers
volume_down,turn down the speakers
music,i want to hear the songs of adele
music,show me the best podcast of folk songs having good rating and play it
taxi,schedule taxi pickup for monday at noon
cleaning,get the roomba to clean up
music,let me see my playlist to reorganize
hue_lightup,please increase the light of table lamp
music,can you play emo music please
music,play classical music playlist
music,i need some rap
music,please play me songs from the
music,begin music player in playlist
hue_lightup,every light of room increase its intensity
music,play my r. n. b. playlist
music,please play yesterday from beattles
hue_lightchange,make the house lights amber at six pm
volume_mute,set music system to mute
music,open songs by prince
cleaning,open vacuum cleaner
music,skip song continue playlist
music,play music relating to the music i listened to this morning
cleaning,security devices to robotic vacuum cleaners to internet enabled refrigerators
volume_mute,goodnight
hue_lightup,please make arrangements to make the hall so brighter
music,i want to play that music one again
music,play new bob dylan album
hue_lightup,please turn the lights up
hue_lighton,turn on the lights
volume_up,hello beef up the volume little bit
music,continue to next song please
order,order pizza from domino's
cleaning,please activate my vacuum to clean the living room
music,can you play some country music
music,play new albums
music,dady mummy vettil illa
music,play what i am by edie brickel
cleaning,can you wake the roomba for the kitchen
music,please play my music
hue_lightoff,switch off all lights
hue_lighton,please turn on my balcony lights
music,play got that by medasin
music,i want to find some good rock music
music,play me this years top ten ten k pop songs
music,play michael jackson from my playlist
music,play kenny rogers lady
volume_mute,mute yourself until five pm
music,play song number
order,order a takeaway sandwich and soup from the italian's
coffee,prepare a cup of coffee for me
music,please play the song games by disturbed
order,find the nearest olive garden that has take out service
music,hey google play some jazz music for me
coffee,let me get a cup of coffee please
hue_lightchange,i want blue lighting
hue_lightdim,i want the room to be less bright
music,play all my favorite latin songs
hue_lightoff,please turn off kitchen light for me
music,play my rock playlist
music,please play the song 'joy to the world
hue_lightchange,please make the lights natural
hue_lightoff,shut the lights off
hue_lightup,can you make the room brighter
music,i want to liston arijit's songs please tune that
coffee,make me a cup of coffee
cleaning,how do i start the robot vacuum cleaner
volume_down,please turn down the volume
volume_up,change my music player volume to eighty percent
hue_lightoff,turn off garage light
cleaning,activate the robot and vacuum the floor
hue_lightup,please set the brightness of lightness appropriately in kitchen
hue_lightdim,dim lights in living room
volume_up,increase the volume
music,play kanye west playlist
taxi,call rta and book a taxi for three o'clock in the morning
cleaning,make vacuum cleaner start
hue_lightdim,dim the lights a bit
music,play classic songs
order,hey order two wings with french fries from the chinese food store
music,turn on bjork
music,go to menu
music,play be warned by tech
order,i want to order a takeaway from papa john's
order,how much does general tsos chicken cost a peking garden
music,queue up ymca
music,play all the list of country songs
music,i would like to listen to
music,play bluegrass music
music,turn on some music
volume_down,can you turn that down
hue_lightchange,confirm whether the color is blue
volume_mute,silence please
music,play the song immediately
taxi,call a taxi for me
volume_mute,mute sound from speakers
hue_lightdim,please dim the lights in the bedrooms
hue_lightoff,turn lights off in kitchen
music,i am in the mood for some classical music
hue_lightoff,shut of the lights
music,please play eighties rock
music,play michael jackson
coffee,i would like some coffee now
coffee,make me a strong [coffee_amount : cup] of coffee
hue_lightoff,turn off the lights in the bedroom
music,activate music
hue_lighton,and the darkness has fallen
taxi,book a local cab
music,next play atomsphere
music,i want to listen to heavy metal please
music,play something from keane's hopes and fears album
hue_lightchange,please set the lights to green
music,ennema eatha
taxi,schedule me a taxi for after my thursday meeting
hue_lightup,please raise the light i am not comfortable at this
music,play song <unk>
cleaning,robot vacuum the living room now
music,put on the next song in five minutes
coffee,i want coffee
volume_mute,please mute the volume control
volume_mute,please stop for a bit
coffee,make coffee now
coffee,please make coffee at seven am
volume_down,please turn the volume down
order,order a smoked meat platter from beanos
order,order me a large ham and olive pizza from dominos
music,will you play music for me
coffee,will you please get the coffee machine to make some coffee
music,play sholay
coffee,get a cup of coffee ready now
music,load spotify
music,jazz
order,i am so hungry and tired and i think i might order some food now
hue_lightchange,make the room blue
hue_lightoff,turn office lights off
music,next play summer lovin
volume_mute,can you mute my speaker
volume_mute,don't respond for fifty seconds
order,can i order take out food at this time
hue_lightdim,dim the lights in the living room
music,punjabi
taxi,book uber from my home
music,play music by that artist
music,hey play crazy by britney spears
taxi,i need a taxi at eight tomorrow morning to take me to work
music,queue true love
music,play me something <unk> insert genre <unk>
music,will you play superman after this song is over
music,can you find the newest song from mgk
volume_down,set the volume to low
hue_lightoff,kitchen light off
hue_lightchange,give me some lavender toned light
music,play michael buble save the last dance
hue_lightoff,please turn off all the lights in my house
hue_lightchange,change light colour to yellow
music,please resume my music
taxi,book an uber to the nearest mall in the next half hour
music,s
music,listen to pop songs
music,play alternative rock
music,play purple haze
volume_down,down
volume_up,increase the volume to fifty
volume_mute,be mute
music,i would like to hear bohemian raphsody
music,play melody songs
coffee,i want some coffee now
volume_mute,mute for <unk>
volume_up,increase volume by one
coffee,i cup of joe would be nice right now
hue_lightoff,i want to sleep
volume_mute,set to mute
hue_lightdim,lower the lights in bedroom two
hue_lightchange,turn my lights to some random color
order,search for pizza nearby
coffee,please get the coffee machine to make me some coffee
volume_mute,turn on silent mode until my alarm goes off
hue_lightchange,color change of lights
coffee,brew some coffee
music,i like to listen to jazz
music,can you turn on country music
coffee,please make me some coffee
volume_mute,silence for two hours
volume_down,please lower the speaker volume
hue_lightoff,i'm going to sleep now
hue_lightchange,replace the current light colours in the house with dark ones
cleaning,start the robot vacuum cleaner now
music,let me hear some bluegrass music
hue_lightup,turn up the lights in the living room
music,play some calming music for me
cleaning,can you put the vacuum on
hue_lightup,can you increase the brightness in the room
hue_lightoff,turn off the lights please
music,please play my favorite pop songs from my list
hue_lightoff,shift the balcony light to off
hue_lightup,i would like all the lights on when i enter
coffee,i want to drink the coffee that you made
hue_lightchange,change my room lights so that i can get a good sleep
coffee,how do i set the timer on my coffee machine
music,play atmosphere next
music,search for all titles for huey lewis and play
music,play i am a survivor by destiny's child
music,please play only sonu nigam's song
coffee,please make me nice coffee
music,mere favorite songs ko tune karo
music,my desire is to listen to some country music
hue_lightup,increase the light level
coffee,order a latte from starbucks
coffee,time mr coffee for six am
coffee,i need a cup of coffee
taxi,get me an uber please
music,play hungry eyes
volume_mute,please mute the television for one hour
taxi,get me a taxi
coffee,activate coffee machine
volume_up,i am unable to hear you can you speak little loud
music,let's listen to a playlist
order,can you please order me some mcdonalds
volume_up,turn up the volume of my speakers
music,play my sadness playlist
cleaning,there is a pile of torn paper on the rug to suck up
volume_up,main apne speaker ka volume kam karna chahta hu
volume_mute,stop playing
music,let's dance
taxi,reserve a taxi
hue_lightchange,change the lights into green
music,play a song that will make me smile
volume_down,your volume is too high please repeat that lower
music,i want to hear <unk> song <unk>
taxi,check all cab companies and get a time booked for three pm
order,order me chinese food
hue_lightoff,please turn off the lights in this room
hue_lightup,please turn the lights brighter
taxi,book me a cab
hue_lightoff,turn off the bathroom light please
hue_lightoff,turn off the closet light
volume_down,please speak quieter to me
music,can you play magic by bruno mars
cleaning,my vacuum cleaner should start between ten to eleven am everyday
coffee,it's coffee time
cleaning,start vacuum cleaner now
hue_lightup,can you brighten up the lights please
music,play me a song
hue_lightoff,i want the light to be switched off
hue_lightup,raise the lights
music,play all third day
hue_lightdim,lower lights
music,play song all the small things
hue_lightchange,please change the light colors to red
hue_lightdim,reduce brightness
order,call china wok
hue_lightup,make the light more visible
music,please play me a song from my fevorate list
music,please play britney spears
music,play all my favorite songs
hue_lighton,it's too dark i can't even see my hands
cleaning,start the vacuum cleaner
music,enjoyment
volume_up,please increase the volume of the current song
coffee,i want the coffee machine to make me coffee
music,play my dance music playlist
hue_lightchange,light color change
hue_lightdim,lower brightness of lights
music,play popular dance music
order,place order to pizza takeout for seven pm
music,start music
volume_up,i can't hear you
coffee,can you set my coffee machine to make me coffee at <unk> time
music,let's play that song again
hue_lightoff,put the lights off now
order,place a take out order at olive garden
volume_up,loudly
volume_mute,set the settings to mute
hue_lightup,please increase the brightness in this room
cleaning,turn on the roomba for me
music,i would like to hear some rap music
order,when i get home can you please order a pizza
hue_lightchange,can you change the light colors into dark in the house
music,play rehab song
music,please play my best music
cleaning,robot via bluetooth enabled devices
music,please play songs of arijit singh
cleaning,begin vacuum cleaning
volume_up,raise speaker volume
hue_lightoff,turn the security light off
music,play for me music by michael jackson
volume_mute,mute please
order,noodles one pack make it as takeaway
music,can you play my last song
volume_mute,sound off
hue_lightdim,turn the lights down
music,play playlist workout
hue_lightoff,can you turn off one of my lights in my bathroom
taxi,get me a ride to hospital
volume_mute,touch the mute button
hue_lightchange,change color of lights
music,play me the latest song of adele
music,play coldplay album
volume_mute,silence for <unk> amount of hours
order,pull up peking garden online
hue_lightdim,lower the overhead lights
music,add slected song
music,i want to hear some beyonce
order,i want to order some takeout food
music,play the david bowie song major tom
volume_mute,shutup
music,open my classical playlist
music,please play music from my playlist
coffee,make coffee at six am
music,comfort my ears with arijit singh
music,please play this song again
music,song next
hue_lightdim,change the lights to dim
music,i need something to listen to thats mellow in the alternative genre
music,play music by taylor swift
taxi,please call a taxi to arrive at four hundred and take me to the manor theater
hue_lightoff,can you turn my bedroom lights off
music,play my music
music,wd
hue_lightdim,darken
cleaning,please start vacuum
music,i am in the mood for metal
music,hey siri start a playlist of nine inch nails
coffee,i need coffee
music,play the music
music,play songs by ilayaraja artist
hue_lightchange,i would like orange lights now
music,play third day
hue_lightchange,please change color of light to pinkish
music,play a song by paramore
hue_lightoff,i want the light switched off can you do it for me
hue_lightchange,i would like the bathroom lights set to yellow
hue_lightdim,light is too much
volume_up,turn up your volume
taxi,can you call a taxi
music,play the most popular song by given artist
hue_lightchange,make the lights blue in here
music,play 'i can't feel my face
music,play music by queen
music,play my favorite song from last year
music,rap
hue_lighton,clap on
hue_lightoff,put out the lights
cleaning,activate the vacuum
music,play baby one more time
cleaning,begin vacuuming
cleaning,let's suck out the dust
coffee,can you bring me a nice coffee
volume_mute,stay quite
music,play music by korn
music,start music app and play a song for me
hue_lightoff,switch off the master's bedroom
music,i am really feeling depressed right now can you please play my most played songs to cheer me up
music,next song
volume_up,turn up volume
volume_up,unmute
hue_lightoff,it's too bright in here can you turn a light off
hue_lightup,brighten the lights a little bit
hue_lightdim,dim the garden light by half
music,play enrique iglesias song after this one
hue_lightchange,make light color red
hue_lightoff,turn off the light of my bed room please
order,hi i want to order fried chick with white sauce
coffee,start a cup of coffee for me
volume_mute,please quiet the speaker
music,play classic rock
music,play why do you sing by kirk franklin
music,start play
taxi,get me a taxi to take me to the airport on friday at five hundred and thirty am
music,please play jazz music
order,please order my favorite dish from my favorite restaurant
coffee,make a cup of coffee
music,play a song of your choice for me
music,play music from good playlist
coffee,can you set my coffee machine to make me coffee at seven am
hue_lightup,please turn up the screen brightness all the way
music,fifty cent
volume_up,turn up the volume
music,after this play me rebel yell
order,order me some chinese food
volume_mute,don't talk
hue_lighton,switch on the lights
cleaning,vacuum the floor
volume_mute,mute audio
cleaning,can you turn on the vacuum
hue_lightoff,turn off lights
music,please play shake it off by taylor swiftm
hue_lightup,do more light
music,play my playlist 'party songs
music,open playlist
hue_lightoff,turn room lights off now
hue_lightchange,change your colors to green
music,i'd like to hear some motown
hue_lightchange,change the lights to green
cleaning,please turn on my vacuum cleaner
music,play closer music track
order,get us spaghetti from pizza hut
cleaning,it's dirty here make some noise
music,play true love next
music,play taylor swift music
volume_mute,set mute until said otherwise
hue_lightup,brighten the lights in living room
